Integer Structure Map — tinyllama_tinyllama-1.1b-chat-v1.0
Scanned 200/201 tensors (eps=0.1, 1 unsupported types skipped)
Q4_0 max entropy = 4.0 bits (16 uniform levels). Lower = more structured.

TENSOR                                          TYPE    ELEMS ENTROPY  EFF_LV  %LOW_E MAX|W|    %ZERO
------------------------------------------------------------------------------------------------------------
blk.4.ffn_up.weight                             Q4_0    11.5M   3.394    10.5    0.0%  0.277   100.0%
blk.2.ffn_down.weight                           Q4_0    11.5M   3.394    10.5    0.0%  0.836   100.0%
blk.11.attn_output.weight                       Q4_0     4.2M   3.395    10.5    0.0%  0.418   100.0%
blk.20.ffn_gate.weight                          Q4_0    11.5M   3.395    10.5    0.0%  0.684   100.0%
blk.17.attn_output.weight                       Q4_0     4.2M   3.395    10.5    0.0%  0.367   100.0%
blk.18.attn_output.weight                       Q4_0     4.2M   3.395    10.5    0.0%  0.590   100.0%
blk.18.ffn_gate.weight                          Q4_0    11.5M   3.395    10.5    0.0%  0.330   100.0%
blk.15.attn_output.weight                       Q4_0     4.2M   3.395    10.5    0.0%  0.424   100.0%
blk.3.ffn_gate.weight                           Q4_0    11.5M   3.395    10.5    0.0%  0.365   100.0%
blk.7.attn_output.weight                        Q4_0     4.2M   3.396    10.5    0.0%  0.359   100.0%
blk.19.ffn_gate.weight                          Q4_0    11.5M   3.396    10.5    0.0%  0.438   100.0%
blk.21.attn_output.weight                       Q4_0     4.2M   3.396    10.5    0.0%  0.434   100.0%
blk.13.attn_output.weight                       Q4_0     4.2M   3.396    10.5    0.0%  0.422   100.0%
blk.20.attn_output.weight                       Q4_0     4.2M   3.397    10.5    0.0%  0.471   100.0%
blk.5.attn_output.weight                        Q4_0     4.2M   3.397    10.5    0.0%  0.477   100.0%
blk.4.ffn_gate.weight                           Q4_0    11.5M   3.397    10.5    0.0%  0.387   100.0%
blk.3.attn_output.weight                        Q4_0     4.2M   3.398    10.5    0.0%  0.357   100.0%
blk.9.attn_output.weight                        Q4_0     4.2M   3.398    10.5    0.0%  0.320   100.0%
blk.12.attn_output.weight                       Q4_0     4.2M   3.399    10.5    0.0%  0.404   100.0%
blk.10.attn_output.weight                       Q4_0     4.2M   3.400    10.6    0.0%  0.365   100.0%
blk.0.attn_norm.weight                           F32     2.0K     F32       —       —  0.770    98.3%
blk.0.ffn_norm.weight                            F32     2.0K     F32       —       —  0.738    97.8%
blk.1.attn_norm.weight                           F32     2.0K     F32       —       —  0.551    93.5%
blk.1.ffn_norm.weight                            F32     2.0K     F32       —       —  0.350     5.1%
blk.10.attn_norm.weight                          F32     2.0K     F32       —       —  0.883     0.1%
blk.10.ffn_norm.weight                           F32     2.0K     F32       —       —  0.322     0.0%
blk.11.attn_norm.weight                          F32     2.0K     F32       —       —  0.988     0.0%
blk.11.ffn_norm.weight                           F32     2.0K     F32       —       —  0.361     0.0%
blk.12.attn_norm.weight                          F32     2.0K     F32       —       —  0.895     0.1%
blk.12.ffn_norm.weight                           F32     2.0K     F32       —       —  0.443     0.0%
blk.13.attn_norm.weight                          F32     2.0K     F32       —       —  0.984     0.0%
blk.13.ffn_norm.weight                           F32     2.0K     F32       —       —  0.438     0.0%
blk.14.attn_norm.weight                          F32     2.0K     F32       —       —  0.906     0.0%
blk.14.ffn_norm.weight                           F32     2.0K     F32       —       —  0.408     0.0%
blk.15.attn_norm.weight                          F32     2.0K     F32       —       —  0.891     0.1%
blk.15.ffn_norm.weight                           F32     2.0K     F32       —       —  0.449     0.0%
blk.16.attn_norm.weight                          F32     2.0K     F32       —       —  0.969     0.0%
blk.16.ffn_norm.weight                           F32     2.0K     F32       —       —  0.512     0.0%
blk.17.attn_norm.weight                          F32     2.0K     F32       —       —  1.109     0.0%
blk.17.ffn_norm.weight                           F32     2.0K     F32       —       —  0.479     0.0%
blk.18.attn_norm.weight                          F32     2.0K     F32       —       —  1.125     0.0%
blk.18.ffn_norm.weight                           F32     2.0K     F32       —       —  0.523     0.0%
blk.19.attn_norm.weight                          F32     2.0K     F32       —       —  1.219     0.0%
blk.19.ffn_norm.weight                           F32     2.0K     F32       —       —  0.559     0.0%
blk.2.attn_norm.weight                           F32     2.0K     F32       —       —  0.676    82.5%
blk.2.ffn_norm.weight                            F32     2.0K     F32       —       —  0.240     2.1%
blk.20.attn_norm.weight                          F32     2.0K     F32       —       —  1.227     0.0%
blk.20.ffn_norm.weight                           F32     2.0K     F32       —       —  0.605     0.0%
blk.21.attn_norm.weight                          F32     2.0K     F32       —       —  1.227     0.0%
blk.21.ffn_norm.weight                           F32     2.0K     F32       —       —  0.730     0.0%
blk.3.attn_norm.weight                           F32     2.0K     F32       —       —  0.645     0.2%
blk.3.ffn_norm.weight                            F32     2.0K     F32       —       —  0.220     1.6%
blk.4.attn_norm.weight                           F32     2.0K     F32       —       —  0.746     0.1%
blk.4.ffn_norm.weight                            F32     2.0K     F32       —       —  0.220     1.4%
blk.5.attn_norm.weight                           F32     2.0K     F32       —       —  0.754     0.1%
blk.5.ffn_norm.weight                            F32     2.0K     F32       —       —  0.242     1.0%
blk.6.attn_norm.weight                           F32     2.0K     F32       —       —  0.738     0.2%
blk.6.ffn_norm.weight                            F32     2.0K     F32       —       —  0.248     0.5%
blk.7.attn_norm.weight                           F32     2.0K     F32       —       —  0.801     0.0%
blk.7.ffn_norm.weight                            F32     2.0K     F32       —       —  0.268     0.3%
blk.8.attn_norm.weight                           F32     2.0K     F32       —       —  1.273     0.1%
blk.8.ffn_norm.weight                            F32     2.0K     F32       —       —  0.295     0.2%
blk.9.attn_norm.weight                           F32     2.0K     F32       —       —  0.836     0.1%
blk.9.ffn_norm.weight                            F32     2.0K     F32       —       —  0.316     0.0%
output_norm.weight                               F32     2.0K     F32       —       —  3.188     0.0%

════════════════════════════════════════════════════════════════════════════════════════════════════════════

MOST STRUCTURED (entropy < 3.5 bits, using <~11 of 16 levels):
  blk.0.attn_k.weight — entropy 2.508 (5.7 effective levels), 23.0% low-entropy blocks
    └─ top levels: 0:38.1%, 1:14.5%, -1:14.5%, 2:6.5%, -2:6.3%
  blk.0.attn_q.weight — entropy 2.774 (6.8 effective levels), 11.9% low-entropy blocks
    └─ top levels: 0:30.3%, 1:14.5%, -1:14.4%, 2:7.7%, -2:7.7%
  blk.1.attn_k.weight — entropy 3.200 (9.2 effective levels), 0.7% low-entropy blocks
    └─ top levels: 0:19.5%, 1:12.5%, -1:12.3%, 2:9.2%, -2:9.2%
  blk.1.attn_q.weight — entropy 3.231 (9.4 effective levels), 0.2% low-entropy blocks
    └─ top levels: 0:19.4%, -1:11.9%, 1:11.9%, -2:9.1%, 2:9.1%
  blk.18.attn_v.weight — entropy 3.301 (9.9 effective levels), 0.4% low-entropy blocks
    └─ top levels: 0:14.0%, -1:12.3%, 1:12.3%, 2:9.8%, -2:9.8%
  blk.0.attn_output.weight — entropy 3.303 (9.9 effective levels), 0.8% low-entropy blocks
    └─ top levels: 0:13.5%, 1:12.2%, -1:12.1%, 2:9.8%, -2:9.7%
  blk.15.attn_v.weight — entropy 3.303 (9.9 effective levels), 0.4% low-entropy blocks
    └─ top levels: 0:13.9%, 1:12.3%, -1:12.3%, -2:9.7%, 2:9.7%
  blk.1.attn_v.weight — entropy 3.309 (9.9 effective levels), 0.0% low-entropy blocks
    └─ top levels: 0:15.0%, -1:12.5%, 1:12.5%, -2:9.5%, 2:9.5%
  blk.2.attn_k.weight — entropy 3.312 (9.9 effective levels), 0.1% low-entropy blocks
    └─ top levels: 0:13.3%, -1:12.2%, 1:12.2%, -2:9.9%, 2:9.9%
  blk.0.attn_v.weight — entropy 3.313 (9.9 effective levels), 0.0% low-entropy blocks
    └─ top levels: 0:16.1%, 1:12.3%, -1:12.2%, -2:9.1%, 2:9.1%
  blk.20.attn_k.weight — entropy 3.348 (10.2 effective levels), 0.2% low-entropy blocks
    └─ top levels: 0:12.6%, 1:11.9%, -1:11.7%, -2:9.7%, 2:9.7%
  blk.8.attn_k.weight — entropy 3.350 (10.2 effective levels), 0.2% low-entropy blocks
    └─ top levels: 0:12.6%, -1:11.8%, 1:11.7%, 2:9.8%, -2:9.7%
  blk.4.attn_k.weight — entropy 3.350 (10.2 effective levels), 0.2% low-entropy blocks
    └─ top levels: 0:12.5%, 1:11.8%, -1:11.6%, 2:9.8%, -2:9.7%
  blk.3.attn_k.weight — entropy 3.353 (10.2 effective levels), 0.1% low-entropy blocks
    └─ top levels: 0:12.4%, 1:11.7%, -1:11.6%, 2:9.8%, -2:9.8%
